dataset,data_seed,split_seed,rows,features,classes,class_counts,true_edges,metadata
S08,1151,1151,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S08,1171,1171,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S08,1181,1181,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S08,1201,1201,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S08,1213,1213,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S08,1231,1231,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S08,1249,1249,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S08,1277,1277,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1103,1103,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1129,1129,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1151,1151,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1171,1171,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1181,1181,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1201,1201,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1213,1213,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1231,1231,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1249,1249,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S09,1277,1277,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""respected"", ""id"": ""S09"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1103,1103,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1129,1129,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1151,1151,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1171,1171,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1181,1181,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1201,1201,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1213,1213,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1231,1231,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1249,1249,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S10,1277,1277,4000,24,2,"{""0"": 2000, ""1"": 2000}",0-1;11-12-13;14-15-16;17-18-19;2-3;4-5;6-7;8-9-10,"{""d"": 24, ""density"": ""dense"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S10"", ""kind"": ""dense_mixed"", ""n"": 4000, ""noise_sd"": 0.75, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1103,1103,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1129,1129,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1151,1151,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1171,1171,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1181,1181,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1201,1201,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1213,1213,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1231,1231,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1249,1249,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S11,1277,1277,2800,20,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 20, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S11"", ""kind"": ""redundant_mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""proxy_correlation"": 0.95, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S12,1103,1103,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1129,1129,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1151,1151,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1171,1171,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1181,1181,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1201,1201,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1213,1213,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1231,1231,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1249,1249,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
S12,1277,1277,2800,16,2,"{""0"": 1960, ""1"": 840}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S12"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.7}"
